Creating test database for alias 'default'...
Destroying test database for alias 'default'...
         10024283 function calls (9818849 primitive calls) in 10.741 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.775   10.775 manage.py:2(<module>)
        1    0.000    0.000   10.742   10.742 __init__.py:394(execute_from_command_line)
        1    0.000    0.000   10.742   10.742 __init__.py:350(execute)
        1    0.000    0.000   10.610   10.610 test.py:39(run_from_argv)
        1    0.000    0.000   10.610   10.610 base.py:230(run_from_argv)
        1    0.000    0.000   10.589   10.589 test.py:61(execute)
      4/1    0.000    0.000   10.589   10.589 base.py:252(execute)
        1    0.000    0.000   10.565   10.565 test.py:76(handle)
        1    0.000    0.000   10.565   10.565 hotrunner.py:27(run_tests)
        1    0.000    0.000   10.565   10.565 runner.py:131(run_tests)
        1    0.000    0.000   10.248   10.248 hotrunner.py:44(run_suite)
        1    0.000    0.000   10.248   10.248 runner.py:140(run)
        1    0.000    0.000   10.248   10.248 suite.py:69(__call__)
        1    0.000    0.000   10.248   10.248 suite.py:88(run)
        1    0.000    0.000   10.248   10.248 testcases.py:166(__call__)
        1    0.000    0.000   10.247   10.247 case.py:394(__call__)
        1    0.000    0.000   10.247   10.247 case.py:297(run)
        1    0.000    0.000    9.168    9.168 tests.py:3011(test_get_coordinates_nested_roc)
        1    0.000    0.000    9.147    9.147 tests.py:406(_setup_deep_nested_run)
     10/1    0.002    0.000    8.597    8.597 execute.py:476(execute_pipeline)
     21/3    0.001    0.000    7.206    2.402 execute.py:349(execute_step)
    86/29    0.004    0.000    4.728    0.163 models.py:117(is_complete)
    15870    0.058    0.000    4.342    0.000 query.py:852(_fetch_all)
    25971    0.166    0.000    4.268    0.000 query.py:160(iterator)
   201/72    0.005    0.000    4.213    0.059 models.py:1041(is_complete)
    17797    0.118    0.000    4.139    0.000 compiler.py:757(execute_sql)
    26017    0.052    0.000    3.617    0.000 compiler.py:703(results_iter)
     8161    0.038    0.000    3.276    0.000 query.py:293(get)
    22314    0.023    0.000    2.965    0.000 query.py:585(filter)
    22469    0.071    0.000    2.958    0.000 query.py:599(_filter_or_exclude)
    16783    0.233    0.000    2.240    0.000 compiler.py:64(as_sql)
    22469    0.053    0.000    2.188    0.000 query.py:1186(add_q)
     8575    0.066    0.000    2.176    0.000 related.py:183(__get__)
     6629    0.007    0.000    2.171    0.000 query.py:80(__iter__)
311415/238996    0.034    0.000    2.167    0.000 {len}
     9082    0.009    0.000    2.141    0.000 query.py:76(__len__)
  376/184    0.004    0.000    2.124    0.012 models.py:1088(successful_execution)
      363    0.004    0.000    2.030    0.006 models.py:535(is_complete)
    22469    0.101    0.000    1.876    0.000 query.py:1206(_add_q)
     1065    0.016    0.000    1.831    0.002 models.py:617(successful_execution)
634119/541399    0.293    0.000    1.806    0.000 {hasattr}
      259    0.007    0.000    1.761    0.007 models.py:2079(all_checks_passed)
     7352    0.107    0.000    1.724    0.000 related.py:419(get_queryset)
    19416    0.219    0.000    1.713    0.000 query.py:1008(build_filter)
    11759    0.055    0.000    1.674    0.000 related.py:297(__get__)
       10    0.000    0.000    1.546    0.155 models.py:161(complete_clean)
       12    0.002    0.000    1.401    0.117 execute.py:1614(_finish_step_h)
    96/64    0.002    0.000    1.327    0.021 models.py:179(successful_execution)
    49452    0.125    0.000    1.299    0.000 query.py:837(_clone)
    19939    0.065    0.000    1.259    0.000 util.py:46(execute)
     5367    0.010    0.000    1.251    0.000 manager.py:132(all)
    52659    0.432    0.000    1.198    0.000 query.py:213(clone)
    19939    0.697    0.000    1.161    0.000 base.py:446(execute)
       31    0.001    0.000    1.133    0.037 execute.py:232(execute_cable)
  417/378    0.001    0.000    1.082    0.003 transaction.py:336(inner)
        1    0.000    0.000    0.920    0.920 tests.py:32(setUp)
      259    0.007    0.000    0.890    0.003 models.py:2015(all_checks_performed)
        1    0.001    0.001    0.795    0.795 tests.py:35(setUp)
34500/34430    0.085    0.000    0.769    0.000 where.py:82(as_sql)
       27    0.001    0.000    0.751    0.028 models.py:359(check_file_contents)
    16783    0.110    0.000    0.737    0.000 compiler.py:173(get_columns)
       27    0.001    0.000    0.669    0.025 models.py:1269(summarize_CSV)
    20354    0.143    0.000    0.651    0.000 where.py:166(make_atom)
     1721    0.008    0.000    0.645    0.000 manager.py:162(filter)
       27    0.000    0.000    0.634    0.023 models.py:50(summarize_CSV)
    27478    0.110    0.000    0.607    0.000 query.py:1319(setup_joins)
       27    0.000    0.000    0.601    0.022 models.py:184(_check_basic_constraints)
      145    0.000    0.000    0.601    0.004 models.py:1131(check_basic_constraints)
      145    0.001    0.000    0.601    0.004 models.py:740(check_basic_constraints)
     1206    0.011    0.000    0.588    0.000 base.py:548(save_base)
     1186    0.002    0.000    0.578    0.000 base.py:489(save)
     1554    0.012    0.000    0.552    0.000 base.py:610(_save_table)
    14719    0.214    0.000    0.549    0.000 compiler.py:255(get_default_columns)
       30    0.000    0.000    0.504    0.017 models.py:235(create_SD)
      854    0.004    0.000    0.492    0.001 query.py:412(first)
        3    0.000    0.000    0.468    0.156 tests_rm.py:103(create_linear_pipeline)
      939    0.004    0.000    0.456    0.000 query.py:103(__getitem__)
    16758    0.011    0.000    0.456    0.000 query.py:787(using)
    71787    0.101    0.000    0.454    0.000 tree.py:87(add)
     1825    0.008    0.000    0.454    0.000 query.py:510(exists)
       37    0.001    0.000    0.452    0.012 models.py:681(complete_clean)
     1786    0.012    0.000    0.444    0.000 query.py:401(has_results)
